region_code,city_name
IQAN,Al-Qa'em (Al-Ka'im)
IQAN,Al-Rutba
IQAN,Ana (Anah)
IQAN,Falluja (Falluja)
IQAN,Haditha
IQAN,Hīt
IQAN,Ramadi
IQAN,Rawah
IQMU,Al-Khidhir
IQMU,Al-Rumaitha
IQMU,Al-Salman
IQMU,Al-Samawa
IQQA,Afaq
IQQA,Al-Shamiya
IQQA,Diwaniya
IQQA,Hamza
IQBB,Al-Mahawil
IQBB,Al-Musayab
IQBB,Hashimiya
IQBB,Hilla
IQBG,Rusafa
IQBG,Adhamiyah
IQBG,Thawra
IQBG,9 Nissan (New Baghdad)
IQBG,Karadah
IQBG,Al-Za'franiya
IQBG,Karkh
IQBG,Kadhimyah
IQBG,Mansour
IQBG,Al Rashid
IQBG,Abu Ghraib
IQBG,Al Istiqlal
IQBG,Al-Mada'in
IQBG,Mahmudiya
IQBG,Taji
IQBG,Al Tarmia
IQBS,Abu Al-Khaseeb
IQBS,Al-Midaina
IQBS,Al-Qurna
IQBS,Al-Zubair
IQBS,Basrah
IQBS,Al-Faw
IQDQ,Al-Chibayish
IQDQ,Al-Rifa'i
IQDQ,Al-Shatra
IQDQ,Nassriya
IQDQ,Suq Al-Shoyokh
IQDL,Al-Khalis
IQDL,Al-Muqdadiya
IQDL,Baladrooz
IQDL,Ba'quba
IQDL,Khanaqin
IQDL,Kifri
IQKB,Ain Al-Tamur (Ayn al-Tamr)
IQKB,Al-Hindiya
IQKB,Kerbala
IQKK,Al-Hawiga
IQKK,Daquq
IQKK,Kirkuk
IQKK,Al-Dibs
IQMY,Ali Al-Gharbi
IQMY,Al-Kahla
IQMY,Al-Maimouna
IQMY,Al-Mejar Al-Kabi
IQMY,Amara (Amarah)
IQMY,Qal'at Saleh
IQNJ,Al-Manathera
IQNJ,Kufa
IQNJ,Najaf
IQNN,Akre
IQNN,Al-Ba'aj
IQNN,Al-Hamdaniya (Bakhdida)
IQNN,Hatra
IQNN,Mosul
IQNN,Shekhan (Ain Sifni)
IQNN,Sinjar
IQNN,Tel Afar
IQNN,Tel Keppe
IQSL,Al-Daur
IQSL,Al-Shirqat
IQSL,Baiji
IQSL,Balad
IQSL,Samarra
IQSL,Tikrit
IQSL,Tooz
IQSL,Dujail
IQWA,Al-Hai
IQWA,Al-Na'maniya
IQWA,Al-Suwaira
IQWA,Badra
IQWA,Kut
IQDH,Amadiya
IQDH,Dahuk
IQDH,Sumel
IQDH,Zakho
IQEB,Erbil 
IQEB,Koisanjaq
IQEB,Shaqlawa
IQEB,Soran
IQEB,Makhmur
IQEB,Mergasur
IQEB,Choman
IQSH,Pshdar
IQSH,Chamchamal
IQSH,Darbandokeh
IQSH,Dokan
IQSH,Kalar
IQSH,Rania
IQSH,Sharbazher
IQSH,Sulaymaniya
IQSH,Saidsadiq
IQSH,Sharazoor (Zarayan)
IQSH,Penjwin
IQSH,Mawat
IQSH,Qaradagh
IQHB,Halabja
IQHB,Sirwan
IQHB,Khurmal
IQHB,Byara
